Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct,id_cycle,type,ambient_temperature,time
(899.3019409179688-54.81196212768555j),(258.4624938964844-64.3766860961914j),(3.3259152367731484+0.6163348370243608j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(896.7604370117188-62.093849182128906j),(260.7977294921875-55.7398567199707j),(3.336982868816167+0.47511570765570205j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(898.6463623046875-67.74559783935547j),(259.7200012207031-51.13490295410156j),(3.3803783270613157+0.4047039864817868j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(895.2774658203125-70.47842407226562j),(260.7483215332031-46.99952697753906j),(3.3726371329155014+0.3376202973196759j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(895.9091186523438-69.53591918945312j),(260.55230712890625-40.592140197753906j),(3.397613140685439+0.2624443072812649j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(896.8087158203125-69.57307434082031j),(262.45574951171875-41.774295806884766j),(3.3737128503563016+0.27189880339910727j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(895.4275512695312-73.05293273925781j),(266.30242919921875-37.67460632324219j),(3.334516325679899+0.19742086944999843j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(894.7485961914062-72.51399993896484j),(264.0782775878906-37.47080612182617j),(3.3595182677145226+0.20209862856113472j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(893.9486694335938-74.74966430664062j),(263.362060546875-37.74225616455078j),(3.365918946970116+0.1985392683761827j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(894.1235961914062-76.95571899414062j),(265.69384765625-34.5468864440918j),(3.3463258809116954+0.14546599990770248j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(894.74169921875-66.27955627441406j),(266.2513122558594-31.402774810791016j),(3.343367226372671+0.14539440770134252j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(891.1288452148438-64.19808959960938j),(269.8252258300781-32.725425720214844j),(3.2831767037695556+0.1602713964674847j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(890.0960693359375-64.26931762695312j),(269.6393127441406-31.3020076751709j),(3.284468717038525+0.14293593530709298j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(890.9033203125-66.34329986572266j),(270.3385314941406-30.25942611694336j),(3.281861479672488+0.12193579998485664j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(887.951171875-64.20530700683594j),(272.3974914550781-33.53118133544922j),(3.2396868902763205+0.16308968685353414j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(888.6405029296875-42.039886474609375j),(274.2021484375-25.652753829956055j),(3.226922734130763+0.14857494109540778j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(888.1311645507812-41.18768310546875j),(273.7983093261719-27.058349609375j),(3.2270912297467222+0.16848927856384055j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(883.9362182617188-41.67601776123047j),(277.6168518066406-26.042278289794922j),(3.1702005771252906+0.14726493596004708j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(882.7664184570312-40.851280212402344j),(280.5911560058594-27.336868286132812j),(3.1305644425373873+0.1594082588032781j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(880.4498901367188-40.84082794189453j),(280.4725036621094-26.782024383544922j),(3.124580710223921+0.15274855206230462j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(879.8556518554688-42.11835861206055j),(282.66632080078125-27.422531127929688j),(3.097998755592263+0.15154479166849977j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(879.3939819335938-1.6966171264648438j),(285.2119445800781-9.632034301757812j),(3.079988100396039+0.09806718981119901j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(877.1307373046875+1.8055686950683594j),(286.53253173828125-12.667941093444824j),(3.0549408871205928+0.14136398283063267j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(875.7244873046875-0.437896728515625j),(288.99029541015625-11.469345092773438j),(3.0255848044462916+0.11856307995568136j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(874.3566284179688-0.6691246032714844j),(290.30584716796875-10.324637413024902j),(3.0081235829219968+0.10467808685363761j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(872.3114624023438-0.5587825775146484j),(291.864013671875-10.685226440429688j),(2.98482939184364+0.10736094171449477j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(870.9830932617188-2.4115142822265625j),(292.55596923828125-8.788070678710938j),(2.9747137175223193+0.08111432550180686j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(870.7589111328125-13.619939804077148j),(293.9734191894531-10.609415054321289j),(2.959849751901816+0.060489600594872725j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(869.028076171875-14.574460983276367j),(295.473388671875-9.46933364868164j),(2.9396997211647533+0.04488572240966579j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(870.2859497070312-17.039100646972656j),(291.9673767089844-10.292667388916016j),(2.979119365772067+0.04666269310758385j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(863.09375-19.82244873046875j),(301.05010986328125-4.014538764953613j),(2.867311974767597-0.027608405990361944j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(869.6659545898438-19.664033889770508j),(294.8162841796875-4.6747236251831055j),(2.950173116420953-0.019920168047698503j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(867.313232421875-39.0822639465332j),(295.0217590332031-15.947603225708008j),(2.938402842975113+0.0263648984265289j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(869.388427734375-41.98951721191406j),(294.6579895019531-11.963770866394043j),(2.951420484736444-0.022668310516322652j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(869.3922729492188-44.88765335083008j),(293.5668640136719-9.301831245422363j),(2.96334931174378-0.05900896952369994j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
(869.3438720703125-48.60107421875j),(294.1447448730469-4.478392124176025j),(2.9573269699299445-0.12020274040001122j),(-0.00046374811023777344+0.02262507212748932j),(0.15014354673951152-0.0029583886967102613j),0.10090192584083808,0.15478049323493148,1,impedance,24,2010.0
