Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct,id_cycle,type,ambient_temperature,time
(887.3875732421875-50.380889892578125j),(272.02838134765625-68.74125671386719j),(3.11030131411127+0.6007650024920137j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(879.9176635742188-56.70130920410156j),(278.0967102050781-61.83557891845703j),(3.0582063335715652+0.4761100905751395j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(881.7719116210938-63.88072204589844j),(275.8396911621094-53.890289306640625j),(3.122736275420527+0.37849679582006673j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(879.7232666015625-67.34126281738281j),(277.4185485839844-50.650062561035156j),(3.1116980300187396+0.32537996300124594j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(881.961669921875-66.36670684814453j),(278.4152526855469-45.94328689575195j),(3.1221107420094367+0.27682866491281516j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(880.65185546875-68.80438995361328j),(279.4241027832031-41.82005310058594j),(3.1186634820452683+0.2205188523632333j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(879.1973266601562-70.11587524414062j),(281.700927734375-40.65415573120117j),(3.092542330183149+0.19740375972383115j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(877.1990356445312-72.92662811279297j),(281.5464782714844-37.88407897949219j),(3.094471456119628+0.15736148859907254j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(877.4279174804688-74.13221740722656j),(281.81378173828125-36.136199951171875j),(3.096322760198662+0.1339789726953152j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(875.8997192382812-74.96237182617188j),(281.7851867675781-36.24728012084961j),(3.0914615250267534+0.13164176754578022j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(878.0108642578125-68.05630493164062j),(282.9944152832031-30.05466079711914j),(3.0932250528385987+0.08802125927342595j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(876.489990234375-65.82552337646484j),(283.5363464355469-31.857852935791016j),(3.0784996413212795+0.11373802993883408j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(875.4373779296875-66.53538513183594j),(286.6257629394531-29.95464324951172j),(3.045286590390376+0.08612306173274517j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(877.3873291015625-66.27617645263672j),(284.38848876953125-29.53226089477539j),(3.076199629409073+0.08639925502538799j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(873.722900390625-65.46039581298828j),(285.3642883300781-29.420848846435547j),(3.052979472436534+0.08536755569309204j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(874.6282958984375-43.492645263671875j),(288.05975341796875-22.89693260192871j),(3.0291366206266184+0.08979141124001414j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(874.1676635742188-44.58720397949219j),(288.7084655761719-24.265138626098633j),(3.0195064036981054+0.09934428985792118j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
(872.59033203125-44.2323112487793j),(291.0009765625-21.714439392089844j),(2.993257588825548+0.07135577170211425j),(0.0031793044656317237-0.019882241539997347j),(0.1570114285132508-0.0033674814680549827j),0.12557395008126016,0.15780591351992612,1,impedance,24,2009.0
