Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct,id_cycle,type,ambient_temperature,time
(925.837890625-58.837989807128906j),(230.5858917236328-59.523677825927734j),(3.8260664890426126+0.7324973699156767j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(922.3645629882812-64.10443115234375j),(235.2323760986328-53.823211669921875j),(3.7852608315933454+0.5935852289049803j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(921.736328125-69.09569549560547j),(235.44020080566406-48.26311111450195j),(3.8148053576569025+0.4885260841929249j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(920.8461303710938-72.25847625732422j),(236.88150024414062-46.543006896972656j),(3.800582925116526+0.4417064267621249j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(918.9769287109375-66.49591064453125j),(241.08189392089844-43.9673957824707j),(3.7378659663567353+0.405871714746889j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(918.1784057617188-67.57323455810547j),(239.03500366210938-41.981292724609375j),(3.7744139081737647+0.38020180807176196j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(917.1539916992188-67.68161010742188j),(241.6370086669922-43.132911682128906j),(3.7268345424374987+0.38515463992397597j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(913.5780639648438-68.08647918701172j),(246.08872985839844-44.34184265136719j),(3.643937694655781+0.37991350824800857j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(913.2003784179688-66.2047119140625j),(245.4286651611328-43.89035415649414j),(3.6522760706040467+0.38339033560020847j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(908.78076171875-64.30674743652344j),(249.5786590576172-45.58607864379883j),(3.569245782300003+0.3942691729573525j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(904.322021484375-52.3370361328125j),(254.96519470214844-43.76636505126953j),(3.4795530480288774+0.39201567452859376j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
(903.2079467773438-54.04474639892578j),(257.36907958984375-43.91096496582031j),(3.444935230823573+0.3777675390774679j),(0.22273321588427647+0.062287808362893465j),(0.19201712870947102-0.0077636520230126285j),(0.0713694865779506+0j),(0.21835138725756187+0j),1,impedance,24,2010.0
