Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct,id_cycle,type,ambient_temperature,time
(812.569580078125-19.22799301147461j),(346.4501647949219-98.461181640625j),(2.184728685892405+0.5654001494893577j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(805.6033325195312-32.86644744873047j),(353.0759582519531-85.42832946777344j),(2.176762042178246+0.4335913955211058j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(805.0164794921875-42.863502502441406j),(352.4737548828125-76.2063217163086j),(2.207030774693754+0.3555617773395129j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(803.8743286132812-50.228302001953125j),(354.642822265625-67.56741333007812j),(2.213356973065785+0.2800634813632334j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(802.3125610351562-49.372718811035156j),(357.2706298828125-60.46939468383789j),(2.2058704321153266+0.23515767584229383j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(800.651123046875-55.656211853027344j),(359.00152587890625-55.96351623535156j),(2.2009004239268766+0.18806024455887538j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(802.73583984375-59.10811233520508j),(355.9593200683594-52.606544494628906j),(2.2309474712796593+0.16365444530757298j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(799.7581176757812-62.93598175048828j),(359.2345886230469-48.553009033203125j),(2.209598919640523+0.12344773014356895j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(799.5072631835938-62.847923278808594j),(359.9219055175781-45.130027770996094j),(2.2085074287825845+0.10230574396867954j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(796.4136352539062-65.00575256347656j),(361.1116638183594-44.948944091796875j),(2.1938658395120565+0.09306318174911662j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(800.7097778320312-57.789024353027344j),(361.1064147949219-37.907955169677734j),(2.209826065978244+0.07194821809968743j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(797.218994140625-58.9205322265625j),(363.2691650390625-37.08917236328125j),(2.188316999189755+0.06122824693775752j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(796.323974609375-60.410369873046875j),(363.833984375-35.17277908325195j),(2.1843388771009735+0.04512744713056137j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(796.1503295898438-63.01507568359375j),(363.6720275878906-34.45004653930664j),(2.1859967508765763+0.03380137372788888j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(796.7758178710938-61.13485336303711j),(363.9433898925781-35.64222717285156j),(2.1847816504655047+0.04598415855518542j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(796.82080078125-42.00027847290039j),(364.9400329589844-24.493066787719727j),(2.18132787131711+0.031312351984328274j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(796.246337890625-41.51387023925781j),(366.4576110839844-26.267602920532227j),(2.169791576861469+0.04224595929734079j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(796.93994140625-44.48155975341797j),(364.5757751464844-24.085540771484375j),(2.1844640529750032+0.022306578804052228j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(793.519287109375-42.429744720458984j),(369.0333251953125-25.089466094970703j),(2.148152151606503+0.031071030910398586j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(794.2247924804688-43.42818069458008j),(368.701416015625-25.187545776367188j),(2.152116707579429+0.02923329535898678j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(794.646240234375-43.043731689453125j),(368.20367431640625-24.270450592041016j),(2.156506209534136+0.025245934163293564j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
(795.8134155273438-4.961112976074219j),(368.7080993652344-6.176884651184082j),(2.1580030902959866+0.022697150412454313j),(0.1417103646035302-0.12137434279504895j),(0.07859480412355123-0.0007468693334191941j),0.06341817961720268,0.07725939357478039,0,impedance,43,2009.0
